time_fs,population_site_1,population_site_2,population_site_3,population_site_4,population_site_5,population_site_6,population_site_7,coherences,pop_site1_L1,pop_site1_L2
0.0000000000e+00,1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,1.0000000000e+00,1.0000000000e+00
5.0000000000e-01,9.9992866413e-01,6.7824754361e-05,2.6917193626e-07,3.0909181582e-07,3.9634696576e-07,1.6628483623e-06,8.7365663946e-07,2.4403784424e-02,9.9992866413e-01,9.9992866413e-01
1.0000000000e+00,9.9971315143e-01,2.7285474334e-04,1.0751221145e-06,1.2423188937e-06,1.5866211311e-06,6.5811178425e-06,3.5086466503e-06,4.9034655691e-02,9.9971315143e-01,9.9971315143e-01
1.5000000000e+00,9.9935334721e-01,6.1516389641e-04,2.4177652460e-06,2.8037473125e-06,3.5610058284e-06,1.4823425506e-05,7.8829479752e-06,7.3818523102e-02,9.9935334725e-01,9.9935334721e-01
2.0000000000e+00,9.9885480585e-01,1.0896020609e-03,4.3164814076e-06,4.8997713879e-06,6.3069052147e-06,2.6197967786e-05,1.3870967178e-05,9.8461930341e-02,9.9885480603e-01,9.9885480585e-01
2.5000000000e+00,9.9820931666e-01,1.7042529278e-03,6.7511148764e-06,7.5765005180e-06,9.8837837776e-06,4.0636867636e-05,2.1582141549e-05,1.2337636655e-01,9.9820931736e-01,9.9820931666e-01
3.0000000000e+00,9.9744896404e-01,2.4265762245e-03,9.8667857709e-06,1.0937727033e-05,1.4262318005e-05,5.8288082925e-05,3.1104820762e-05,1.4793095565e-01,9.9744896607e-01,9.9744896404e-01
3.5000000000e+00,9.9654507499e-01,3.2848794407e-03,1.3513310290e-05,1.4865399283e-05,1.9694269804e-05,7.9149045352e-05,4.2823549342e-05,1.7285942833e-01,9.9654507999e-01,9.9654507499e-01
4.0000000000e+00,9.9546764851e-01,4.3088902505e-03,1.8086309780e-05,1.9281273569e-05,2.6195177568e-05,1.0378808476e-04,5.6110395045e-05,1.9860410705e-01,9.9546765952e-01,9.9546764851e-01
4.5000000000e+00,9.9427921411e-01,5.4383638378e-03,2.3005545090e-05,2.4615859780e-05,3.3124132513e-05,1.3111652173e-04,7.0559996761e-05,2.2375282502e-01,9.9427923602e-01,9.9427921411e-01
5.0000000000e+00,9.9300799807e-01,6.6478174369e-03,2.8068208901e-05,3.0422870587e-05,4.0513577270e-05,1.5858299030e-04,8.6596844073e-05,2.4790636371e-01,9.9300803823e-01,9.9300799807e-01
5.5000000000e+00,9.9146233492e-01,8.1200159046e-03,3.4431578145e-05,3.7064161527e-05,4.9158323225e-05,1.9221015615e-04,1.0478496059e-04,2.7439638492e-01,9.9146240553e-01,9.9146233491e-01
6.0000000000e+00,9.8983684213e-01,9.6671023217e-03,4.1366283551e-05,4.3810955240e-05,5.8260147169e-05,2.2956462655e-04,1.2305353599e-04,2.9992026237e-01,9.8983695927e-01,9.8983684212e-01
6.5000000000e+00,9.8818054681e-01,1.1232828768e-02,4.9781393909e-05,5.2196318880e-05,6.8852527611e-05,2.7100959309e-04,1.4478458811e-04,3.2507489796e-01,9.8818073139e-01,9.8818054680e-01
7.0000000000e+00,9.8631740059e-01,1.2998745022e-02,5.8520095625e-05,6.0401204926e-05,8.1046804249e-05,3.1460507460e-04,1.6928120483e-04,3.5094230173e-01,9.8631768319e-01,9.8631740057e-01
7.5000000000e+00,9.8439985516e-01,1.4818725704e-02,6.7506701433e-05,6.8500370454e-05,9.2525338873e-05,3.6125939067e-04,1.9162733389e-04,3.7552973742e-01,9.8440027260e-01,9.8439985511e-01
8.0000000000e+00,9.8221878390e-01,1.6893092179e-02,7.8946453533e-05,7.8172207990e-05,1.0629755588e-04,4.0855391214e-04,2.1615379619e-04,4.0176607440e-01,9.8221938926e-01,9.8221878381e-01
8.5000000000e+00,9.7990287252e-01,1.9096350981e-02,8.9926505562e-05,8.8617846020e-05,1.1984585451e-04,4.5929995695e-04,2.4308633946e-04,4.2784448394e-01,9.7990372950e-01,9.7990287238e-01
9.0000000000e+00,9.7741457464e-01,2.1461508427e-02,1.0227277624e-04,1.0012035863e-04,1.3450904134e-04,5.1557459880e-04,2.7144015733e-04,4.5440203373e-01,9.7741576420e-01,9.7741457442e-01
9.5000000000e+00,9.7472064172e-01,2.4019711272e-02,1.1720414009e-04,1.1348602102e-04,1.5247187356e-04,5.7493996529e-04,3.0154500581e-04,4.8203208076e-01,9.7472226563e-01,9.7472064137e-01
1.0000000000e+01,9.7188581393e-01,2.6720583158e-02,1.3345031702e-04,1.2624133283e-04,1.6742491557e-04,6.3259225709e-04,3.3389408539e-04,5.0900991641e-01,9.7188799205e-01,9.7188581338e-01
1.0500000000e+01,9.6884628715e-01,2.9615892721e-02,1.4985529142e-04,1.3999778838e-04,1.8684461342e-04,6.9357614623e-04,3.6754628644e-04,5.3659380412e-01,9.6884916840e-01,9.6884628632e-01
1.1000000000e+01,9.6604645894e-01,3.2273518497e-02,1.6652073810e-04,1.5362814787e-04,2.0574369654e-04,7.5042821447e-04,4.0370176842e-04,5.6144474435e-01,9.6605017374e-01,9.6604645771e-01
1.1500000000e+01,9.6307260453e-01,3.5082127827e-02,1.8552183638e-04,1.7011579380e-04,2.2497030101e-04,8.2197430567e-04,4.4268540249e-04,5.8742515951e-01,9.6307734286e-01,9.6307260275e-01
1.2000000000e+01,9.6002850340e-01,3.7953680116e-02,2.0524219675e-04,1.8671572763e-04,2.4685818276e-04,8.9589493940e-04,4.8310543407e-04,6.1319554873e-01,9.6003447103e-01,9.6002850087e-01
1.2500000000e+01,9.5680444341e-01,4.1005388054e-02,2.2711666155e-04,2.0285762081e-04,2.6808335913e-04,9.6489347059e-04,5.2721742547e-04,6.3908332069e-01,9.5681189223e-01,9.5680443985e-01
1.3000000000e+01,9.5321261054e-01,4.4406948418e-02,2.5328971826e-04,2.1990516283e-04,2.9133728337e-04,1.0431652730e-03,5.7274360161e-04,6.6666969407e-01,9.5322186517e-01,9.5321260559e-01
1.3500000000e+01,9.5026053217e-01,4.7182581607e-02,2.7763709093e-04,2.3638725413e-04,3.1674788162e-04,1.1113980682e-03,6.1471592640e-04,6.8972399841e-01,9.5027175632e-01,9.5026052546e-01
1.4000000000e+01,9.4681801860e-01,5.0434488425e-02,3.0234197924e-04,2.5356792481e-04,3.4135886583e-04,1.1971319326e-03,6.5309227709e-04,7.1458505530e-01,9.4683162372e-01,9.4681800956e-01
1.4500000000e+01,9.4325604018e-01,5.3789908608e-02,3.3196995380e-04,2.7738820461e-04,3.6642000084e-04,1.2892552787e-03,6.8901777251e-04,7.4007959594e-01,9.4327240804e-01,9.4325602816e-01
1.5000000000e+01,9.3947124420e-01,5.7365817472e-02,3.6354216638e-04,3.0039523680e-04,3.9248010990e-04,1.3690333625e-03,7.3748745393e-04,7.6611754083e-01,9.3949082978e-01,9.3947122834e-01
1.5500000000e+01,9.3562476308e-01,6.1010189276e-02,3.9389216469e-04,3.1994778347e-04,4.1950845888e-04,1.4497927901e-03,7.8190644938e-04,7.9095699362e-01,9.3564801967e-01,9.3562474239e-01
1.6000000000e+01,9.3105469610e-01,6.5382317877e-02,4.2680740239e-04,3.4111473371e-04,4.5067885880e-04,1.5262163420e-03,8.1816868164e-04,8.1807147926e-01,9.3108236516e-01,9.3105466916e-01
1.6500000000e+01,9.2678486366e-01,6.9445340286e-02,4.6145326574e-04,3.6165006955e-04,4.8019026153e-04,1.6110933168e-03,8.5540914419e-04,8.4327288565e-01,9.2681738481e-01,9.2678482911e-01
1.7000000000e+01,9.2247642127e-01,7.3533502975e-02,4.9767064781e-04,3.8476128103e-04,5.0751553866e-04,1.7020564036e-03,8.9807188317e-04,8.6852762195e-01,9.2251438774e-01,9.2247637739e-01
1.7500000000e+01,9.1862412604e-01,7.7177477909e-02,5.4201452398e-04,4.0919553377e-04,5.3443068377e-04,1.7760217486e-03,9.3673356449e-04,8.9114552864e-01,9.1866791965e-01,9.1862407113e-01
1.8000000000e+01,9.1378160871e-01,8.1782068967e-02,5.8762036949e-04,4.3864280600e-04,5.6679795690e-04,1.8640912790e-03,9.7916990681e-04,9.1786235647e-01,9.1383237628e-01,9.1378153985e-01
1.8500000000e+01,9.0846817670e-01,8.6820241984e-02,6.3364226508e-04,4.6768495646e-04,6.1046709404e-04,1.9712499327e-03,1.0285370630e-03,9.4692785188e-01,9.0852691624e-01,9.0846809069e-01
1.9000000000e+01,9.0453388481e-01,9.0493903200e-02,6.8438802809e-04,4.9441834025e-04,6.4889031498e-04,2.0668942569e-03,1.0776210530e-03,9.7040074986e-01,9.0460056429e-01,9.0453377962e-01
1.9500000000e+01,9.0025713545e-01,9.4558136321e-02,7.3229076612e-04,5.2239064823e-04,6.8237896661e-04,2.1259369923e-03,1.1217308550e-03,9.9280745245e-01,9.0033268893e-01,9.0025700741e-01
2.0000000000e+01,8.9593860852e-01,9.8652571145e-02,7.7194024672e-04,5.5467964321e-04,7.1258624935e-04,2.2076806336e-03,1.1619335619e-03,1.0147256855e+00,8.9602383561e-01,8.9593845362e-01
2.0500000000e+01,8.8985826216e-01,1.0442453370e-01,8.2929461014e-04,5.8906462086e-04,7.6467058746e-04,2.3111270747e-03,1.2230472421e-03,1.0446780205e+00,8.8995533784e-01,8.8985807334e-01
2.1000000000e+01,8.8674601649e-01,1.0731861727e-01,8.7080218632e-04,6.0812363259e-04,7.9471638544e-04,2.3888843146e-03,1.2728397219e-03,1.0616861921e+00,8.8685352111e-01,8.8674579302e-01
2.1500000000e+01,8.8302089582e-01,1.1079210853e-01,9.2928247109e-04,6.3470454809e-04,8.2621238748e-04,2.4800636114e-03,1.3167326334e-03,1.0813558558e+00,8.8314008254e-01,8.8302063141e-01
2.2000000000e+01,8.7807819498e-01,1.1550641842e-01,9.8587105573e-04,6.6477397980e-04,8.6003780308e-04,2.5473875316e-03,1.3573162307e-03,1.1033698727e+00,8.7821102146e-01,8.7807788129e-01
2.2500000000e+01,8.7452922447e-01,1.1889580963e-01,1.0267998079e-03,6.8289917577e-04,8.8968249398e-04,2.6020900963e-03,1.3734943247e-03,1.1188071363e+00,8.7467527379e-01,8.7452885783e-01
2.3000000000e+01,8.6919944099e-01,1.2401051837e-01,1.0889154417e-03,7.0485717325e-04,9.1642221422e-04,2.6757765636e-03,1.4040692405e-03,1.1402614729e+00,8.6936140200e-01,8.6919900953e-01
2.3500000000e+01,8.6504631819e-01,1.2797329378e-01,1.1476363423e-03,7.2850525839e-04,9.4969838763e-04,2.7162193026e-03,1.4383287364e-03,1.1579982095e+00,8.6522396638e-01,8.6504581683e-01
2.4000000000e+01,8.6148260477e-01,1.3128307514e-01,1.2182108527e-03,7.6231169633e-04,9.9373485761e-04,2.7895069795e-03,1.4705557033e-03,1.1760096639e+00,8.6167616773e-01,8.6148202640e-01
2.4500000000e+01,8.5764722723e-01,1.3487558632e-01,1.2766838044e-03,7.9682188664e-04,1.0406271434e-03,2.8605393090e-03,1.5025143142e-03,1.1938238344e+00,8.5785790500e-01,8.5764656187e-01
2.5000000000e+01,8.5165038086e-01,1.4059913372e-01,1.3432034725e-03,8.3031870448e-04,1.0793038936e-03,2.9474119801e-03,1.5502473664e-03,1.2175706892e+00,8.5188187544e-01,8.5164960962e-01
2.5500000000e+01,8.4701999351e-01,1.4494640982e-01,1.4184566059e-03,8.5712536515e-04,1.1234957208e-03,3.0427847505e-03,1.5917342220e-03,1.2374777279e+00,8.4727157449e-01,8.4701910997e-01
2.6000000000e+01,8.3975851133e-01,1.5186199844e-01,1.5081359723e-03,9.0174980597e-04,1.1769049648e-03,3.1560173869e-03,1.6366821050e-03,1.2649664599e+00,8.4003471681e-01,8.3975748981e-01
2.6500000000e+01,8.3631237373e-01,1.5505414405e-01,1.5962329948e-03,9.2717112228e-04,1.2123783452e-03,3.2201854459e-03,1.6775143126e-03,1.2807850412e+00,8.3660902737e-01,8.3631122007e-01
2.7000000000e+01,8.3360546474e-01,1.5746979107e-01,1.6955515934e-03,9.5534249005e-04,1.2620753989e-03,3.2973987263e-03,1.7143759806e-03,1.2965257836e+00,8.3392244004e-01,8.3360417035e-01
2.7500000000e+01,8.2942689324e-01,1.6135624030e-01,1.7619882287e-03,9.9561781152e-04,1.3205713058e-03,3.3737882385e-03,1.7649008794e-03,1.3150151278e+00,8.2976728796e-01,8.2942543566e-01
2.8000000000e+01,8.2349111834e-01,1.6695548681e-01,1.8517228574e-03,1.0430660763e-03,1.3822944438e-03,3.4750716330e-03,1.8012398388e-03,1.3382283855e+00,8.2385876951e-01,8.2348946994e-01
2.8500000000e+01,8.1860475536e-01,1.7154406753e-01,1.9266063058e-03,1.0794253762e-03,1.4364706484e-03,3.5845837003e-03,1.8240910788e-03,1.3571603885e+00,8.1899879206e-01,8.1860290657e-01
2.9000000000e+01,8.1321583317e-01,1.7663857518e-01,2.0032036724e-03,1.1308171288e-03,1.4977954164e-03,3.6582787942e-03,1.8554966404e-03,1.3768830833e+00,8.1363787614e-01,8.1321376387e-01
2.9500000000e+01,8.0708693379e-01,1.8251534267e-01,2.0904585861e-03,1.1647555389e-03,1.5525365142e-03,3.7075321300e-03,1.8824407621e-03,1.3968132798e+00,8.0753932239e-01,8.0708462076e-01
3.0000000000e+01,8.0128107215e-01,1.8799388143e-01,2.1692449595e-03,1.2153525345e-03,1.6124435208e-03,3.8082956063e-03,1.9197098016e-03,1.4177552075e+00,8.0176429086e-01,8.0127849779e-01
3.0500000000e+01,7.9580227307e-01,1.9309928457e-01,2.2835014940e-03,1.2676231996e-03,1.6740778328e-03,3.8923741834e-03,1.9808656489e-03,1.4395084666e+00,7.9631656840e-01,7.9579941993e-01
3.1000000000e+01,7.8974472538e-01,1.9883746338e-01,2.3744241257e-03,1.3072917429e-03,1.7374256192e-03,3.9941845412e-03,2.0044852144e-03,1.4594408529e+00,7.9029166237e-01,7.8974156966e-01
3.1500000000e+01,7.8291546921e-01,2.0516481231e-01,2.5030207398e-03,1.3584128569e-03,1.8359897162e-03,4.1396231277e-03,2.0826720404e-03,1.4854396611e+00,7.8349732726e-01,7.8291197949e-01
3.2000000000e+01,7.7762326084e-01,2.1011622568e-01,2.6122399688e-03,1.4050321158e-03,1.8939683736e-03,4.2324298279e-03,2.1168431935e-03,1.5040781373e+00,7.7823742244e-01,7.7761943627e-01
3.2500000000e+01,7.7189649726e-01,2.1546025739e-01,2.7372250086e-03,1.4476224778e-03,1.9707870197e-03,4.3343258606e-03,2.1532849833e-03,1.5244229547e+00,7.7254451069e-01,7.7189231149e-01
3.3000000000e+01,7.6612814884e-01,2.2085457694e-01,2.8837432350e-03,1.4818532710e-03,2.0461431547e-03,4.4019344549e-03,2.2036001058e-03,1.5443808244e+00,7.6681015593e-01,7.6612358531e-01
3.3500000000e+01,7.6185953168e-01,2.2476480371e-01,2.9906775727e-03,1.5257013413e-03,2.1262824986e-03,4.4820570890e-03,2.2509461059e-03,1.5611314468e+00,7.6257270566e-01,7.6185459031e-01
3.4000000000e+01,7.5630753548e-01,2.2998420737e-01,3.1410456867e-03,1.5662026332e-03,2.1755157792e-03,4.5555130910e-03,2.2699799582e-03,1.5786835581e+00,7.5705474688e-01,7.5630218596e-01
3.4500000000e+01,7.4974786254e-01,2.3613608912e-01,3.2667011616e-03,1.6271993595e-03,2.2721917779e-03,4.6500670940e-03,2.2998889534e-03,1.5998652387e+00,7.5053155015e-01,7.4974206900e-01
3.5000000000e+01,7.4497719932e-01,2.4048274712e-01,3.3987326887e-03,1.6933305768e-03,2.3528931384e-03,4.7402193263e-03,2.3548778221e-03,1.6182764716e+00,7.4579329477e-01,7.4497097536e-01
3.5500000000e+01,7.3866602163e-01,2.4633526615e-01,3.5572911550e-03,1.7645874557e-03,2.4653925369e-03,4.7978012164e-03,2.4136398519e-03,1.6401553709e+00,7.3951806377e-01,7.3865932597e-01
3.6000000000e+01,7.3649969166e-01,2.4821990970e-01,3.6770123134e-03,1.8135251318e-03,2.5417490599e-03,4.8037046586e-03,2.4444074700e-03,1.6508735409e+00,7.3737782631e-01,7.3649258115e-01
3.6500000000e+01,7.3284605615e-01,2.5164828445e-01,3.7892048027e-03,1.8625702091e-03,2.6025961084e-03,4.8009908780e-03,2.4502973991e-03,1.6617857435e+00,7.3375242008e-01,7.3283850741e-01
3.7000000000e+01,7.2395350540e-01,2.6012802166e-01,3.9567262199e-03,1.9219850048e-03,2.6851135020e-03,4.8741019105e-03,2.4805463038e-03,1.6837904169e+00,7.2489854660e-01,7.2394542405e-01
3.7500000000e+01,7.1746272980e-01,2.6618119074e-01,4.1141321043e-03,1.9932676420e-03,2.7760180736e-03,4.9546356975e-03,2.5180259458e-03,1.7033355314e+00,7.1843997415e-01,7.1745415238e-01
3.8000000000e+01,7.1320307910e-01,2.7014665534e-01,4.2444442165e-03,2.0430672850e-03,2.8398986424e-03,5.0116775002e-03,2.5111779230e-03,1.7160540238e+00,7.1420760955e-01,7.1319404962e-01
3.8500000000e+01,7.0876553503e-01,2.7447843300e-01,4.3124559100e-03,2.0560781036e-03,2.8715436914e-03,5.0116267757e-03,2.5043274879e-03,1.7238450537e+00,7.0979581601e-01,7.0875606495e-01
3.9000000000e+01,7.0410345349e-01,2.7892975859e-01,4.4511568949e-03,2.0882883650e-03,2.9157140157e-03,5.0174006791e-03,2.4942279709e-03,1.7345558412e+00,7.0515857425e-01,7.0409355062e-01
3.9500000000e+01,6.9833979098e-01,2.8428187918e-01,4.6266955143e-03,2.1636891555e-03,3.0049149319e-03,5.0615231464e-03,2.5215070886e-03,1.7512823148e+00,6.9942013563e-01,6.9832944425e-01
4.0000000000e+01,6.9325017267e-01,2.8904235835e-01,4.7767953485e-03,2.2148563824e-03,3.0759558972e-03,5.1225858496e-03,2.5172755038e-03,1.7640255229e+00,6.9435254682e-01,6.9323942347e-01
4.0500000000e+01,6.8932609316e-01,2.9254828654e-01,4.9374538614e-03,2.2860235639e-03,3.1628468290e-03,5.1974285551e-03,2.5418674814e-03,1.7789713854e+00,6.9044605649e-01,6.8931497576e-01
4.1000000000e+01,6.8243425303e-01,2.9899134695e-01,5.1659464615e-03,2.3379875270e-03,3.2270187805e-03,5.2831130370e-03,2.5603342102e-03,1.7968405133e+00,6.8357517411e-01,6.8242276309e-01
4.1500000000e+01,6.8002740634e-01,3.0111438822e-01,5.2935970130e-03,2.3742638752e-03,3.2813946186e-03,5.3435978014e-03,2.5653521275e-03,1.8056483849e+00,6.8117720206e-01,6.8001567308e-01
4.2000000000e+01,6.7853719779e-01,3.0237998606e-01,5.4510606761e-03,2.4126357886e-03,3.3444895518e-03,5.3143154379e-03,2.5603146946e-03,1.8125071784e+00,6.7969262792e-01,6.7852527669e-01
4.2500000000e+01,6.7241697652e-01,3.0815510039e-01,5.6290888878e-03,2.4954980785e-03,3.4468501703e-03,5.2974609314e-03,2.5590250236e-03,1.8266945012e+00,6.7358366815e-01,6.7240484637e-01
4.3000000000e+01,6.6575121044e-01,3.1449768395e-01,5.7250762645e-03,2.5580502730e-03,3.5591504148e-03,5.3262779547e-03,2.5825507063e-03,1.8411198484e+00,6.6692636251e-01,6.6573893020e-01
4.3500000000e+01,6.5845706063e-01,3.2138825591e-01,5.8801480292e-03,2.6347769693e-03,3.6633353110e-03,5.3731692348e-03,2.6032539195e-03,1.8571736016e+00,6.5963735454e-01,6.5844471498e-01
4.4000000000e+01,6.5331696827e-01,3.2594232104e-01,6.1370215110e-03,2.7167650582e-03,3.7732205839e-03,5.4617800855e-03,2.6519234521e-03,1.8752792034e+00,6.5449424012e-01,6.5330467460e-01
4.4500000000e+01,6.4609635219e-01,3.3253297817e-01,6.4028020034e-03,2.7969232982e-03,3.9053086135e-03,5.5738259200e-03,2.6918098014e-03,1.8952203836e+00,6.4726919078e-01,6.4608420906e-01
4.5000000000e+01,6.3911879927e-01,3.3911150595e-01,6.5796721221e-03,2.8543254860e-03,3.9959054782e-03,5.6347842404e-03,2.7050074476e-03,1.9089340349e+00,6.4028079987e-01,6.3910698175e-01
4.5500000000e+01,6.3519332797e-01,3.4268020136e-01,6.7770946997e-03,2.9270268355e-03,4.0611652130e-03,5.6443166318e-03,2.7168672947e-03,1.9200613784e+00,6.3633442990e-01,6.3518202511e-01
4.6000000000e+01,6.2545320055e-01,3.5206127398e-01,6.9638012021e-03,3.0131949066e-03,4.1052782339e-03,5.6841434990e-03,2.7191076372e-03,1.9345108583e+00,6.2657367527e-01,6.2544258267e-01
4.6500000000e+01,6.1906772547e-01,3.5808650710e-01,7.1658403650e-03,3.1200244942e-03,4.1717365324e-03,5.6601695047e-03,2.7279965270e-03,1.9466608262e+00,6.2015622377e-01,6.1905803335e-01
4.7000000000e+01,6.1531914409e-01,3.6153919189e-01,7.3786140983e-03,3.1725470577e-03,4.2089302080e-03,5.6630897473e-03,2.7184829124e-03,1.9553421253e+00,6.1636693824e-01,6.1531059485e-01
4.7500000000e+01,6.0942078638e-01,3.6710586719e-01,7.5561643105e-03,3.2623868107e-03,4.2725726131e-03,5.6646137708e-03,2.7176089239e-03,1.9665755958e+00,6.1042274865e-01,6.0941361359e-01
4.8000000000e+01,6.0282539068e-01,3.7351341628e-01,7.7221870729e-03,3.3448817890e-03,4.2934869178e-03,5.6049845249e-03,2.6956527331e-03,1.9740069321e+00,6.0377305954e-01,6.0281991380e-01
4.8500000000e+01,5.9861647826e-01,3.7736437096e-01,7.8829786622e-03,3.4412605513e-03,4.4043625571e-03,5.5726665824e-03,2.7178824248e-03,1.9846972111e+00,5.9950161986e-01,5.9861292780e-01
4.9000000000e+01,5.8924338441e-01,3.8635521344e-01,8.1022972586e-03,3.5027368332e-03,4.5084498383e-03,5.5568707830e-03,2.7310474407e-03,1.9975939862e+00,5.9005949998e-01,5.8924214066e-01
4.9500000000e+01,5.8007009667e-01,3.9495010359e-01,8.3554371513e-03,3.5793062020e-03,4.6155548255e-03,5.6578808312e-03,2.7716207289e-03,2.0140029157e+00,5.8080671340e-01,5.8007152135e-01
